amfi_code,hhi,concentration,scheme_name,category,return_3yr_pct
100016,0.13953386,Diversified,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,14.84
100033,0.14759225999999998,Diversified,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,16.58
101206,0.12933173,Diversified,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,13.78
101207,0.20070043,Moderate,ABSL Small Cap Fund - Regular - Growth,Small Cap,22.38
102886,0.11469284,Diversified,UTI Mid Cap Fund - Regular - Growth,Mid Cap,15.61
102887,0.12980494999999997,Diversified,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,15.34
118632,0.1682982,Moderate,Nippon India Large Cap Fund - Regular - Growth,Large Cap,14.0
118633,0.12146086,Diversified,Nippon India Large Cap Fund - Direct - Growth,Large Cap,12.33
118634,0.10835772,Diversified,Nippon India Small Cap Fund - Regular - Growth,Small Cap,20.15
119092,0.20644766999999994,Moderate,Axis Bluechip Fund - Regular - Growth,Large Cap,11.84
119093,0.13089424,Diversified,Axis Bluechip Fund - Direct - Growth,Large Cap,12.14
119094,0.13640591000000002,Diversified,Axis Midcap Fund - Regular - Growth,Mid Cap,15.18
119095,0.10960535000000002,Diversified,Axis Small Cap Fund - Regular - Growth,Small Cap,20.98
119551,0.11871551999999999,Diversified,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,12.36
119552,0.10801068999999998,Diversified,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,11.3
119598,0.10734895,Diversified,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,23.39
119599,0.17475095999999998,Moderate,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,23.14
120503,0.14087026,Diversified,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,11.54
120504,0.10867415000000001,Diversified,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,14.41
120505,0.15757036000000002,Moderate,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,18.08
120841,0.14968035000000002,Diversified,Kotak Bluechip Fund - Regular - Growth,Large Cap,12.25
120842,0.12743880999999999,Diversified,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,18.23
120843,0.12868306000000002,Diversified,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,15.65
125497,0.13658554,Diversified,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,13.38
125498,0.15241398,Moderate,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,15.29
148567,0.13858416999999998,Diversified,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,14.81
148568,0.16792973,Moderate,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,14.56
148569,0.14939642,Diversified,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,13.58
149322,0.13439797,Diversified,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,12.82
149323,0.14162096000000002,Diversified,DSP Midcap Fund - Regular - Growth,Mid Cap,17.16
149324,0.11867710000000001,Diversified,DSP Small Cap Fund - Regular - Growth,Small Cap,20.08
